localidad
"ADALIA"
"AGUASAL"
"AGUILAR DE CAMPOS"
"ALAEJOS"
"ALCAZARÉN"
"ALDEA DE SAN MIGUEL"
"ALDEAMAYOR DE SAN MARTÍN"
"ALMENARA DE ADAJA"
"AMUSQUILLO"
"ARROYO DE LA ENCOMIENDA"
"ATAQUINES"
"BAHABÓN"
"BARCIAL DE LA LOMA"
"BARRUELO DEL VALLE"
"BECILLA DE VALDERADUEY"
"BENAFARCES"
"BERCERO"
"BERCERUELO"
"BERRUECES"
"BOBADILLA DEL CAMPO"
"BOCIGAS"
"BOCOS DE DUERO"
"BOECILLO"
"BOLAÑOS DE CAMPOS"
"BRAHOJOS DE MEDINA"
"BUSTILLO DE CHAVES"
"CABEZÓN DE PISUERGA"
"CABEZÓN DE VALDERADUEY"
"CABREROS DEL MONTE"
"CAMPASPERO"
"CAMPORREDONDO"
"CANALEJAS DE PEÑAFIEL"
"CANILLAS DE ESGUEVA"
"CARPIO"
"CASASOLA DE ARIÓN"
"CASTREJÓN DE TRABANCOS"
"CASTRILLO DE DUERO"
"CASTRILLO-TEJERIEGO"
"CASTROBOL"
"CASTRODEZA"
"CASTROMEMBIBRE"
"CASTROMONTE"
"CASTRONUEVO DE ESGUEVA"
"CASTRONUÑO"
"CASTROPONCE"
"CASTROVERDE DE CERRATO"
"CEINOS DE CAMPOS"
"CERVILLEGO DE LA CRUZ"
"CIGALES"
"CIGUÑUELA"
"CISTÉRNIGA"
"COGECES DE ÍSCAR"
"COGECES DEL MONTE"
"CORCOS"
"CORRALES DE DUERO"
"CUBILLAS DE SANTA MARTA"
"CUENCA DE CAMPOS"
"CURIEL DE DUERO"
"EL CAMPILLO"
"ENCINAS DE ESGUEVA"
"ESGUEVILLAS DE ESGUEVA"
"FOMBELLIDA"
"FOMPEDRAZA"
"FONTIHOYUELO"
"FRESNO EL VIEJO"
"FUENSALDAÑA"
"FUENTE EL SOL"
"FUENTE-OLMEDO"
"GALLEGOS DE HORNIJA"
"GATÓN DE CAMPOS"
"GERIA"
"HERRÍN DE CAMPOS"
"HORNILLOS DE ERESMA"
"ÍSCAR"
"LA MUDARRA"
"LA PARRILLA"
"LA PEDRAJA DE PORTILLO"
"LA SECA"
"LA UNIÓN DE CAMPOS"
"LA ZARZA"
"LAGUNA DE DUERO"
"LANGAYO"
"LLANO DE OLMEDO"
"LOMOVIEJO"
"MANZANILLO"
"MARZALES"
"MATAPOZUELOS"
"MATILLA DE LOS CAÑOS"
"MAYORGA"
"MEDINA DE RIOSECO"
"MEDINA DEL CAMPO"
"MEGECES"
"MELGAR DE ABAJO"
"MELGAR DE ARRIBA"
"MOJADOS"
"MONASTERIO DE VEGA"
"MONTEALEGRE DE CAMPOS"
"MONTEMAYOR DE PILILLA"
"MORAL DE LA REINA"
"MORALEJA DE LAS PANADERAS"
"MORALES DE CAMPOS"
"MOTA DEL MARQUÉS"
"MUCIENTES"
"MURIEL"
"NAVA DEL REY"
"NUEVA VILLA DE LAS TORRES"
"OLIVARES DE DUERO"
"OLMEDO"
"OLMOS DE ESGUEVA"
"OLMOS DE PEÑAFIEL"
"PALAZUELO DE VEDIJA"
"PEDRAJAS DE SAN ESTEBAN"
"PEDROSA DEL REY"
"PEÑAFIEL"
"PEÑAFLOR DE HORNIJA"
"PESQUERA DE DUERO"
"PIÑA DE ESGUEVA"
"PIÑEL DE ABAJO"
"PIÑEL DE ARRIBA"
"POLLOS"
"PORTILLO"
"POZAL DE GALLINAS"
"POZALDEZ"
"POZUELO DE LA ORDEN"
"PURAS"
"QUINTANILLA DE ARRIBA"
"QUINTANILLA DE ONÉSIMO"
"QUINTANILLA DE TRIGUEROS"
"QUINTANILLA DEL MOLAR"
"RÁBANO"
"RAMIRO"
"RENEDO DE ESGUEVA"
"ROALES DE CAMPOS"
"ROBLADILLO"
"ROTURAS"
"RUBÍ DE BRACAMONTE"
"RUEDA"
"SAELICES DE MAYORGA"
"SALVADOR DE ZAPARDIEL"
"SAN CEBRIÁN DE MAZOTE"
"SAN LLORENTE"
"SAN MARTÍN DE VALVENÍ"
"SAN MIGUEL DEL ARROYO"
"SAN MIGUEL DEL PINO"
"SAN PABLO DE LA MORALEJA"
"SAN PEDRO DE LATARCE"
"SAN PELAYO"
"SAN ROMÁN DE HORNIJA"
"SAN SALVADOR"
"SAN VICENTE DEL PALACIO"
"SANTA EUFEMIA DEL ARROYO"
"SANTERVÁS DE CAMPOS"
"SANTIBÁÑEZ DE VALCORBA"
"SANTOVENIA DE PISUERGA"
"SARDÓN DE DUERO"
"SERRADA"
"SIETE IGLESIAS DE TRABANCOS"
"SIMANCAS"
"TAMARIZ DE CAMPOS"
"TIEDRA"
"TORDEHUMOS"
"TORDESILLAS"
"TORRE DE ESGUEVA"
"TORRE DE PEÑAFIEL"
"TORRECILLA DE LA ABADESA"
"TORRECILLA DE LA ORDEN"
"TORRECILLA DE LA TORRE"
"TORRELOBATÓN"
"TORRESCÁRCELA"
"TRASPINEDO"
"TRIGUEROS DEL VALLE"
"TUDELA DE DUERO"
"URONES DE CASTROPONCE"
"URUEÑA"
"VALBUENA DE DUERO"
"VALDEARCOS DE LA VEGA"
"VALDENEBRO DE LOS VALLES"
"VALDESTILLAS"
"VALDUNQUILLO"
"VALLADOLID"
"VALORIA LA BUENA"
"VALVERDE DE CAMPOS"
"VEGA DE RUIPONCE"
"VEGA DE VALDETRONCO"
"VELASCÁLVARO"
"VELILLA"
"VELLIZA"
"VENTOSA DE LA CUESTA"
"VIANA DE CEGA"
"VILLABÁÑEZ"
"VILLABARUZ DE CAMPOS"
"VILLABRÁGIMA"
"VILLACARRALÓN"
"VILLACID DE CAMPOS"
"VILLACO"
"VILLAFRADES DE CAMPOS"
"VILLAFRANCA DE DUERO"
"VILLAFRECHÓS"
"VILLAFUERTE"
"VILLAGARCÍA DE CAMPOS"
"VILLAGÓMEZ LA NUEVA"
"VILLALÁN DE CAMPOS"
"VILLALAR DE LOS COMUNEROS"
"VILLALBA DE LA LOMA"
"VILLALBA DE LOS ALCORES"
"VILLALBARBA"
"VILLALÓN DE CAMPOS"
"VILLAMURIEL DE CAMPOS"
"VILLÁN DE TORDESILLAS"
"VILLANUBLA"
"VILLANUEVA DE DUERO"
"VILLANUEVA DE LA CONDESA"
"VILLANUEVA DE LOS CABALLEROS"
"VILLANUEVA DE LOS INFANTES"
"VILLANUEVA DE SAN MANCIO"
"VILLARDEFRADES"
"VILLARMENTERO DE ESGUEVA"
"VILLASEXMIR"
"VILLAVAQUERÍN"
"VILLAVELLID"
"VILLAVERDE DE MEDINA"
"VILLAVICENCIO DE LOS CABALLEROS"
"VILORIA"
"WAMBA"
"ZARATÁN"
