centro_salud
"Alaejos"
"Arturo Eyries"
"Barrio España"
"Canterac"
"Casa del Barco (Campo Grande)"
"Centro - Gamazo (Campo Grande)"
"Cigales"
"Circunvalación"
"Delicias I"
"Delicias II"
"Esguevillas de Esgueva"
"Huerta del Rey"
"La Victoria"
"Laguna de Duero"
"Magdalena"
"Mayorga"
"Medina de Rioseco"
"Medina del Campo Rural"
"Medina del Campo Urbano"
"Mota del Marqués"
"Olmedo"
"Parque Alameda - Covaresa"
"Parquesol"
"Peñafiel"
"Pilarica"
"Pisuerga"
"Plaza Circular"
"Plaza del Ejército"
"Portillo"
"Rondilla I"
"Rondilla II"
"San Isidro - Pajarillos (La Tórtola)"
"San Pablo"
"Serrada"
"Tordesillas"
"Tudela de Duero"
"Valladolid Rural I"
"Valladolid Rural II"
"Villafrechós"
"Villalón de Campos"
"Íscar"
